basomrade,year,population_20xx_12_31,gender
4260500_vada_glesbygd,2010,233,both
4260500_vada_glesbygd,2011,245,both
4260500_vada_glesbygd,2012,247,both
4260500_vada_glesbygd,2013,250,both
4260500_vada_glesbygd,2014,254,both
4270100_karby,2000,785,both
4270100_karby,2001,791,both
4270100_karby,2002,770,both
4270100_karby,2003,763,both
4270100_karby,2004,756,both
4270100_karby,2005,747,both
4270100_karby,2006,770,both
4270100_karby,2007,811,both
4270100_karby,2008,791,both
4270100_karby,2009,778,both
4270100_karby,2010,766,both
4270100_karby,2011,759,both
4270100_karby,2012,760,both
4270100_karby,2013,778,both
4270100_karby,2014,772,both
4270200_brottby,2000,199,both
4270200_brottby,2001,192,both
4270200_brottby,2002,190,both
4270200_brottby,2003,186,both
4270200_brottby,2004,186,both
4270200_brottby,2005,182,both
4270200_brottby,2006,181,both
4270200_brottby,2007,192,both
4270200_brottby,2008,192,both
4270200_brottby,2009,189,both
